代码,名称,最新价,IOPV实时估值,基金折价率,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,振幅,换手率,量比,委比,外盘,内盘,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比,现手,买一,卖一,最新份额,流通市值,总市值,数据日期,更新时间
159822,新经济ETF,0.728,0.6709,-8.51,0.059,8.82,28591128.0,2039311156.083,0.67,0.734,0.67,0.669,9.57,,12.24,-21.52,15306869.0,13284259.0,15904912.0,0.78,20070992.0,0.98,-4166080.0,-0.2,-11288176.0,-0.55,-4616751.0,-0.23,-5624.0,0.728,0.729,593134320.0,431801785,431801785,2025-05-14,2025-05-14 14:21:54+08:00
159329,沙特ETF,1.079,0.9956,-8.38,0.055,5.37,76669989.0,8227989449.102,1.025,1.123,1.025,1.024,9.57,,26.72,-6.34,40003618.0,36666371.0,-79940480.0,-0.97,40137872.0,0.49,-120078352.0,-1.46,59230976.0,0.72,20709504.0,0.25,683.0,1.078,1.079,921689184.0,994502630,994502630,2025-05-14,2025-05-14 14:21:54+08:00
512070,证券保险ETF,0.788,0.7878,-0.03,0.03,3.96,9844671.0,769898600.0,0.757,0.803,0.757,0.758,6.07,11.43,4.97,23.72,5902767.0,3941905.0,55611677.0,7.22,35650496.0,4.63,19961181.0,2.59,-36332154.0,-4.72,-19279527.0,-2.5,50.0,0.787,0.788,8613479680.0,6787421988,6787421988,2025-05-14,2025-05-14 14:21:55+08:00
159509,纳指科技ETF,1.537,1.4809,-3.79,0.055,3.71,11233374.0,1719158044.063,1.516,1.543,1.515,1.482,1.89,17.73,2.13,-16.9,6232409.0,5000964.0,100073888.0,5.82,70410560.0,4.1,29663328.0,1.73,-61414438.0,-3.57,-38659437.0,-2.25,3.0,1.536,1.537,6336564224.0,9739299212,9739299212,2025-05-14,2025-05-14 14:21:54+08:00
513750,港股非银ETF,1.323,1.3267,0.28,0.047,3.68,3248392.0,428231117.0,1.28,1.337,1.28,1.276,4.47,26.51,4.07,-9.41,1587132.0,1661260.0,-3092004.0,-0.72,9842408.0,2.3,-12934412.0,-3.02,3814852.0,0.89,-722849.0,-0.17,78.0,1.322,1.323,1225338000.0,1621122174,1621122174,2025-05-14,2025-05-14 14:21:54+08:00
515630,保险证券ETF,1.268,1.2676,-0.03,0.045,3.68,306457.0,38603566.0,1.223,1.291,1.22,1.223,5.81,14.17,3.63,36.87,176067.0,130390.0,2724620.0,7.06,-724829.0,-1.88,3449449.0,8.94,-1180464.0,-3.06,-1544156.0,-4.0,9.0,1.267,1.268,216217700.0,274164044,274164044,2025-05-14,2025-05-14 14:21:57+08:00
516980,证券ETF先锋,1.078,1.0771,-0.08,0.037,3.55,31434.0,3364981.0,1.043,1.098,1.04,1.041,5.57,9.24,3.7,0.09,16479.0,14955.0,651409.0,19.36,407987.0,12.12,243422.0,7.23,-592678.0,-17.61,-58731.0,-1.75,1.0,1.077,1.078,34016000.0,36669248,36669248,2025-05-14,2025-05-14 14:21:54+08:00
159848,证券ETF基金,0.875,0.875,0.0,0.028,3.31,100358.0,8712722.7,0.846,0.892,0.845,0.847,5.55,7.61,3.77,-2.48,66473.0,33885.0,2191431.0,25.15,590632.0,6.78,1600799.0,18.37,-1277129.0,-14.66,-914303.0,-10.49,3519.0,0.873,0.875,131811239.0,115334834,115334834,2025-05-14,2025-05-14 14:21:51+08:00
515850,券商指数ETF,1.343,1.3425,-0.04,0.043,3.31,289291.0,38429525.0,1.3,1.369,1.296,1.3,5.62,14.74,1.82,41.12,158716.0,130575.0,4501591.0,11.71,2491608.0,6.48,2009983.0,5.23,-2260133.0,-5.88,-2241459.0,-5.83,143.0,1.342,1.343,196291000.0,263618813,263618813,2025-05-14,2025-05-14 14:21:54+08:00
512880,证券ETF,1.097,1.0965,-0.05,0.035,3.3,28474857.0,3096192670.0,1.063,1.119,1.058,1.062,5.74,10.63,2.58,-12.86,16819163.0,11655694.0,368460656.0,11.9,510006448.0,16.47,-141545792.0,-4.57,-216042912.0,-6.98,-152412569.0,-4.92,567.0,1.096,1.097,26794291456.0,29393337727,29393337727,2025-05-14,2025-05-14 14:21:56+08:00
