代码,名称,最新价,IOPV实时估值,基金折价率,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,振幅,换手率,量比,委比,外盘,内盘,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比,现手,买一,卖一,最新份额,流通市值,总市值,数据日期,更新时间
513360,教育ETF,0.516,0.5229,1.32,-0.004,-0.77,964446.0,49827920.0,0.521,0.521,0.514,0.52,1.35,8.28,1.46,3.28,238370.0,726076.0,-6364857.0,-12.77,-10483751.0,-21.04,4118894.0,8.27,4292661.0,8.61,2072196.0,4.16,1.0,0.515,0.516,1165213904.0,601250374,601250374,2025-05-15,2025-05-15 10:13:26+08:00
513350,标普油气ETF,0.924,0.9352,1.2,-0.015,-1.6,576316.0,53304440.0,0.926,0.928,0.923,0.939,0.53,8.0,1.4,18.38,235609.0,340707.0,6590472.0,12.36,7537981.0,14.14,-947509.0,-1.78,-5292706.0,-9.93,-1297767.0,-2.43,-1.0,0.924,0.925,720746000.0,665969304,665969304,2025-05-15,2025-05-15 10:13:26+08:00
512190,浙商之江凤凰ETF,1.879,1.8988,1.04,-0.015,-0.79,80.0,15136.0,1.896,1.897,1.879,1.894,0.95,0.03,0.74,3.89,28.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,1.872,1.899,31418400.0,59035174,59035174,2025-05-15,2025-05-15 10:13:27+08:00
159518,标普油气ETF,0.886,0.8951,1.02,-0.012,-1.34,605514.0,53600807.2,0.886,0.888,0.884,0.898,0.45,5.62,1.33,14.47,225293.0,380221.0,8012470.0,14.95,9611916.0,17.93,-1599446.0,-2.98,-7210731.0,-13.45,-801738.0,-1.5,422.0,0.885,0.886,1077325376.0,954510283,954510283,2025-05-15,2025-05-15 10:13:24+08:00
159312,恒生ETF港股通,1.157,1.1678,0.92,0.0,0.0,21101.0,2436385.3,1.158,1.158,1.152,1.157,0.52,3.14,0.82,-20.22,7486.0,13615.0,203450.0,8.35,0.0,0.0,203450.0,8.35,6865.0,0.28,-210315.0,-8.63,-4.0,1.157,1.158,67224353.0,77778576,77778576,2025-05-15,2025-05-15 10:13:24+08:00
159687,亚太精选ETF,1.344,1.3561,0.89,-0.001,-0.07,318616.0,42866168.7,1.35,1.353,1.341,1.345,0.89,7.46,3.09,13.37,131762.0,186854.0,-3251758.0,-7.59,-6263228.0,-14.61,3011470.0,7.03,1021868.0,2.38,2229890.0,5.2,10.0,1.343,1.344,426828656.0,573657714,573657714,2025-05-15,2025-05-15 10:13:27+08:00
159318,恒生港股通ETF,1.287,1.2974,0.8,0.004,0.31,64784.0,8325115.2,1.293,1.293,1.279,1.283,1.09,12.8,2.27,6.02,31451.0,33333.0,321018.0,3.86,15208.0,0.18,305810.0,3.67,-210653.0,-2.53,-110367.0,-1.33,200.0,1.287,1.288,50601647.0,65124320,65124320,2025-05-15,2025-05-15 10:13:27+08:00
513160,港股科技30ETF,1.1,1.1088,0.79,0.001,0.09,994749.0,108950246.0,1.098,1.101,1.091,1.099,0.91,8.88,1.27,-7.56,493911.0,500838.0,1731027.0,1.59,10286895.0,9.44,-8555868.0,-7.85,-1764036.0,-1.62,33009.0,0.03,-175.0,1.1,1.101,1120189296.0,1232208226,1232208226,2025-05-15,2025-05-15 10:13:26+08:00
513970,恒生消费ETF,0.934,0.9409,0.73,-0.001,-0.11,195640.0,18246329.0,0.934,0.935,0.93,0.935,0.53,1.0,1.06,-13.71,94081.0,101559.0,1602792.0,8.78,1207553.0,6.62,395239.0,2.17,64870.0,0.36,-1667663.0,-9.14,-186.0,0.934,0.935,1954041008.0,1825074301,1825074301,2025-05-15,2025-05-15 10:13:25+08:00
159699,恒生消费ETF,1.017,1.0245,0.73,0.002,0.2,234981.0,23848499.427,1.014,1.018,1.013,1.015,0.49,1.6,0.82,-6.6,133334.0,101647.0,3288793.0,13.83,2372282.0,9.98,916511.0,3.85,-2990870.0,-12.58,-297922.0,-1.25,-674.0,1.017,1.018,1464664256.0,1489563548,1489563548,2025-05-15,2025-05-15 10:13:24+08:00
513830,港股红利ETF,1.043,1.0505,0.71,0.0,0.0,201425.0,21084619.0,1.043,1.051,1.042,1.043,0.86,5.75,2.49,-45.98,106726.0,94699.0,315555.0,1.5,3519826.0,16.69,-3204271.0,-15.2,-527984.0,-2.5,212429.0,1.01,-1515.0,1.042,1.044,350311008.0,365374381,365374381,2025-05-15,2025-05-15 10:13:27+08:00
159303,恒生医疗ETF基金,1.314,1.3231,0.69,-0.001,-0.08,48295.0,6328462.2,1.318,1.318,1.305,1.315,0.99,8.05,1.04,-17.13,16897.0,31398.0,386023.0,6.1,0.0,0.0,386023.0,6.1,-174809.0,-2.76,-211214.0,-3.34,-150.0,1.314,1.315,59991693.0,78829085,78829085,2025-05-15,2025-05-15 10:13:24+08:00
517300,沪港深300ETF,0.803,0.8085,0.68,-0.002,-0.25,4752.0,381674.0,0.806,0.806,0.803,0.805,0.37,0.01,1.06,1.13,2552.0,2200.0,7672.0,2.01,0.0,0.0,7672.0,2.01,-37636.0,-9.86,29964.0,7.85,147.0,0.802,0.804,3288434496.0,2640612900,2640612900,2025-05-15,2025-05-15 10:13:28+08:00
563680,N800自由现金流ETF,1.016,1.0228,0.66,-0.007,-0.68,1321613.0,134347808.0,1.02,1.022,1.01,1.023,1.17,49.51,,-14.2,558171.0,763442.0,28971173.0,21.56,31680705.0,23.58,-2709532.0,-2.02,-26325383.0,-19.59,-2645791.0,-1.97,-150.0,1.016,1.017,266959000.0,271230344,271230344,2025-05-15,2025-05-15 10:13:25+08:00
159892,恒生医药ETF,0.599,0.6029,0.65,0.002,0.34,4409466.0,263409071.0,0.594,0.6,0.593,0.597,1.17,6.38,2.16,-13.72,2543924.0,1865542.0,9175351.0,3.48,27843637.0,10.57,-18668286.0,-7.09,-6776180.0,-2.57,-2399171.0,-0.91,-193.0,0.599,0.6,6912265984.0,4140447324,4140447324,2025-05-15,2025-05-15 10:13:27+08:00
159788,港股通100ETF,1.266,1.2739,0.62,0.005,0.4,178895.0,22615791.7,1.277,1.277,1.259,1.261,1.43,14.15,3.19,3.25,89865.0,89030.0,-404407.0,-1.79,-1424456.0,-6.3,1020049.0,4.51,-740438.0,-3.27,1144847.0,5.06,3600.0,1.266,1.267,126424965.0,160054006,160054006,2025-05-15,2025-05-15 10:13:27+08:00
159751,港股科技ETF,1.023,1.0294,0.62,0.004,0.39,461084.0,46892131.846,1.015,1.025,1.011,1.019,1.37,7.77,1.76,-22.17,257705.0,203379.0,5028613.0,10.72,1498448.0,3.2,3530165.0,7.53,-4158348.0,-8.87,-870265.0,-1.86,-5.0,1.023,1.024,593629632.0,607283114,607283114,2025-05-15,2025-05-15 10:13:27+08:00
159229,自由现金流ETF广发,1.014,1.0203,0.62,-0.007,-0.69,1039106.0,105773933.955,1.018,1.022,1.012,1.021,0.98,41.14,,-28.56,345417.0,693689.0,21213607.0,20.07,54886316.0,51.93,-33672709.0,-31.86,-19038982.0,-18.01,-2174625.0,-2.06,-700.0,1.014,1.015,252556022.0,256091806,256091806,2025-05-15,2025-05-15 10:13:27+08:00
