month,date,open,high,low,close,volume,shares_bought,total_shares,total_invested,portfolio_value
1990-12,1990-12-19,96.05,99.98,95.79,99.98,126000,10.002000400080016,10.002000400080016,1000,1000.0
1991-01,1991-01-02,127.61,128.84,127.61,128.84,9100,7.76156473144986,17.763565131529877,2000,2288.657731546309
1991-02,1991-02-01,129.5,129.97,129.45,129.51,34500,7.721411474017451,25.484976605547327,3000,3300.559320184434
1991-03,1991-03-01,132.53,132.53,132.47,132.53,712400,7.545461404964914,33.03043801051224,4000,4377.523949533187
1991-04,1991-04-01,120.69,120.73,119.68,120.73,1199900,8.282945415389712,41.313383425901954,5000,4987.764781009143
1991-05,1991-05-02,113.04,113.2,113.03,113.16,146500,8.837044892188052,50.15042831809001,6000,5675.022468475065
1991-06,1991-06-03,115.9,115.97,114.89,115.97,95400,8.622919720617402,58.77334803870741,7000,6815.945172048899
1991-07,1991-07-01,136.64,138.62,136.56,136.85,2294000,7.307270734380709,66.08061877308812,8000,9043.132679097109
1991-08,1991-08-01,145.12,145.24,143.8,145.24,473100,6.885155604516662,72.96577437760479,9000,10597.54907060332
1991-09,1991-09-02,180.08,180.22,178.43,180.22,140800,5.548773721007658,78.51454809861245,10000,14149.891858331936
1991-10,1991-10-03,181.55,182.48,179.8,182.48,1874100,5.480052608505042,83.9946007071175,11000,15327.3347370348
1991-11,1991-11-01,220.71,220.72,218.6,220.72,590600,4.530627038782168,88.52522774589967,12000,19539.288268074975
1991-12,1991-12-02,261.78,262.19,259.67,262.19,1912800,3.814027994965483,92.33925574086516,13000,24210.429462697433
1992-01,1992-01-02,293.74,293.75,292.76,293.75,92800,3.404255319148936,95.74351106001409,14000,28124.656373879137
1992-02,1992-02-03,314.18,314.18,313.24,314.18,30500,3.182888789865682,98.92639984987977,15000,31080.696304835226
1992-03,1992-03-02,365.15,365.39,364.66,365.39,340500,2.7368017734475494,101.66320162332732,16000,37146.71724114757
1992-04,1992-04-01,381.55,381.85,381.01,381.01,406500,2.624603028791895,104.28780465211922,17000,39734.69645050394
1992-05,1992-05-04,454.86,456.24,445.38,453.62,6436200,2.2044883382566907,106.49229299037592,18000,48307.03394629432
1992-06,1992-06-01,1175.69,1249.58,1129.28,1183.24,3939400,0.8451370812345762,107.3374300716105,19000,127005.9407579324
1992-07,1992-07-01,1199.54,1215.13,1182.05,1194.18,5833000,0.8373946976167747,108.17482476922727,20000,129180.21224291583
1992-08,1992-08-03,1034.7,1060.36,1026.83,1031.55,6010300,0.9694149580728031,109.14423972730008,21000,112587.7404906964
1992-09,1992-09-01,826.96,832.84,807.37,824.96,7869400,1.2121799844840961,110.35641971178417,22000,91039.63200543348
1992-10,1992-10-05,676.47,702.32,668.9,679.62,9411600,1.471410494099644,111.82783020588381,23000,76000.42996452276
1992-11,1992-11-02,471.18,508.81,465.55,477.61,12622600,2.09375850589393,113.92158871177774,24000,54410.08998463217
1992-12,1992-12-01,718.99,749.89,713.85,716.74,21540400,1.395206071936825,115.31679478371457,25000,82652.15949327959
1993-01,1993-01-04,784.13,816.64,777.16,814.04,18385000,1.2284408628568622,116.54523564657143,26000,94872.483625735
1993-02,1993-02-01,1242.35,1278.5,1222.18,1278.5,68344100,0.7821666014861165,117.32740224805754,27000,150003.08377414156
1993-03,1993-03-01,1328.22,1339.1,1199.73,1199.73,42590100,0.8335208755303276,118.16092312358786,28000,141761.20429906208
1993-04,1993-04-01,921.59,949.77,915.59,947.23,13829400,1.0557098064883925,119.21663293007626,29000,112925.57121035614
1993-05,1993-05-03,1365.15,1380.5,1349.98,1352.24,59518900,0.7395136957936461,119.9561466258699,30000,162209.49971336633
1993-06,1993-06-01,935.9,935.9,859.48,928.58,27585800,1.0769131361864352,121.03305976205634,31000,112388.87863385028
1993-07,1993-07-01,1000.8,1009.89,980.05,997.53,39904300,1.002476116006536,122.03553587806287,32000,121734.10810444405
1993-08,1993-08-02,885.31,913.15,842.35,843.27,132710100,1.1858598076535392,123.22139568571642,33000,103908.90633989408
1993-09,1993-09-01,898.01,900.18,886.57,893.97,24555300,1.1186057697685605,124.34000145548498,34000,111156.23110115991
1993-10,1993-10-04,895.69,901.37,891.33,892.55,56342800,1.1203854125819281,125.4603868680669,35000,111979.66829909311
1993-11,1993-11-01,801.86,823.25,801.86,816.71,64697100,1.2244248264377808,126.68481169450469,36000,103464.75255901893
1993-12,1993-12-01,993.67,993.74,971.49,974.8,121788100,1.0258514567090686,127.71066315121375,37000,124492.35443980315
1994-01,1994-01-03,837.7,840.65,831.66,833.9,101005600,1.199184554502938,128.9098477057167,38000,107497.92200179714
1994-02,1994-02-01,770.25,770.28,750.61,755.15,49170200,1.3242402171753958,130.2340879228921,39000,98346.27149497195
1994-03,1994-03-01,771.52,775.68,756.63,757.29,122736700,1.3204980918802574,131.55458601477235,40000,99624.97244312696
1994-04,1994-04-01,704.93,705.41,691.86,698.84,165498700,1.4309427050540895,132.98552871982645,41000,92935.60689056352
1994-05,1994-05-03,593.94,605.77,588.95,605.77,140076100,1.650791554550407,134.63632027437686,42000,81558.64373260927
1994-06,1994-06-01,554.08,556.9,543.88,545.05,225002400,1.8346940647647005,136.47101433914156,43000,74383.5263655491
1994-07,1994-07-01,469.27,469.43,457.51,458.37,52899500,2.181643650326156,138.6526579894677,44000,63554.21884263232
1994-08,1994-08-01,394.87,448.91,377.97,445.64,620399100,2.2439637375460015,140.89662172701372,45000,62789.170506426395
1994-09,1994-09-01,785.61,813.42,785.56,790.19,863573700,1.2655184196205975,142.16214014663433,46000,112335.10152246899
1994-10,1994-10-05,770.9,775.85,681.87,706.42,326109800,1.4155884601228732,143.5777286067572,47000,101426.17904238543
1994-11,1994-11-01,667.66,675.66,657.27,673.79,119961500,1.4841419433354608,145.06187055009266,48000,97741.23775794693
1994-12,1994-12-01,684.02,684.72,680.0,682.3,26898100,1.4656309541257513,146.5275015042184,49000,99975.71427632822
1995-01,1995-01-03,637.72,647.71,630.53,639.88,23451800,1.5627930236919423,148.09029452791034,50000,94760.01766251927
1995-02,1995-02-06,559.78,559.84,532.91,533.72,30000000,1.873641609832871,149.96393613774322,51000,80038.75199543631
1995-03,1995-03-01,548.91,559.48,545.72,556.95,40751600,1.7954933117874134,151.75942944953064,52000,84522.4142319161
1995-04,1995-04-03,651.04,660.61,647.43,656.88,211416000,1.5223480696626477,153.2817775191933,53000,100687.73401680769
