year,date,open,close,low,high,shares_bought,total_shares,total_invested,portfolio_value
2016,2016-12-19,262.45,262.76,262.02,263.5,45.66905160602832,45.66905160602832,12000,12000.0
2017,2017-01-03,264.04,263.65,258.0,265.2,45.514887161008915,91.18393876703723,24000,24040.645455929363
2018,2018-01-02,274.0,275.3,274.0,275.6,43.588812204867416,134.77275097190466,36000,37102.93834256535
2019,2019-01-02,283.98,285.8,283.98,285.88,41.98740377886634,176.760154750771,48000,50518.05222777035
2020,2020-01-02,341.95,341.91,340.8,343.0,35.09695533912433,211.85711008989531,60000,72436.0645108361
2021,2021-01-04,397.48,398.09,396.0,399.5,30.143937300610418,242.00104739050573,72000,96338.19695568642
2022,2022-01-04,373.0,371.3,371.0,373.0,32.31887961217345,274.31992700267915,84000,101854.98889609477
2023,2023-01-03,411.0,412.26,409.0,412.5,29.107844564110028,303.4277715667892,96000,125091.13310612451
2024,2024-01-02,480.8,483.66,480.0,483.8,24.810817516437165,328.2385890832264,108000,158755.87599599326
2025,2025-01-02,614.0,621.99,614.0,622.6,19.29291467708484,347.53150376031124,120000,216161.120023876
